lines,rfluxes_measured,rfluxes_err,lines_vac
HI_1216,51.3,1.1,1216
Blnd_1240,1,0.7,1240
Blnd_1549,4.1,0.7,1549
HeII_1640,2.2,0.6,1640
NII_6583,12.5,1.53,6585
HI_6563,40.93,4.92,6563
