lines,rfluxes_measured,rfluxes_err,lines_vac
HI_1216,56.5,1.3,1216
Blnd_1240,0.7,0.8,1240
Blnd_1549,5.7,0.7,1549
HeII_1640,4.8,0.7,1640
HI_4861,2.79,1.12,4862
OIII_4959,7.17,0.39,4959
OIII_5007,21.71,0.39,5008
