lines,rfluxes_measured,rfluxes_err,lines_vac
HI_1216,26.8,1.8999999999999986,1216
Blnd_1240,4.8,1.0,1240
Blnd_1549,0.8,1.0,1549
HeII_1640,4.2,0.9000000000000001,1640
