lines,rfluxes_measured,rfluxes_err,lines_vac
HI_1216,67.4,2.0,1216
Blnd_1240,1.4,0.8999999999999999,1240
Blnd_1549,5.2,0.9000000000000004,1549
HeII_1640,6.1,0.9000000000000004,1640
